epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,633.936,1.8563,27.9809,1.32012,0,0,0,0,1.22854,126.031,0.95547,0.00010766,0.00010766,0.00010766
2,1248.61,1.89957,8.83831,1.35483,0.51605,0.41667,0.09733,0.09493,1.0874,142.153,0.96324,0.000218594,0.000218594,0.000218594
3,2001.06,1.58019,5.01873,1.13931,1,0.39335,0.54465,0.34928,1.21875,7.62414,1.08095,0.000324961,0.000324961,0.000324961
4,2681.59,1.55216,8.27969,1.204,1,0.24828,0.32764,0.18864,1.52777,6.94241,1.49478,0.00042676,0.00042676,0.00042676
5,3394.09,1.65007,4.08186,1.32008,0.98689,0.16667,0.33133,0.19548,1.52816,5.29011,1.57695,0.00052399,0.00052399,0.00052399
6,4097.29,1.69146,2.9154,1.28148,0.98789,0.16667,0.30222,0.13095,1.73231,6.90243,1.85788,0.000616653,0.000616653,0.000616653
7,4809.47,1.66204,2.53282,1.30571,0.98361,0.16667,0.17233,0.14202,1.26601,4.18463,1.47292,0.000677643,0.000677643,0.000677643
8,5504.3,1.72429,2.46245,1.28964,0.78584,0.25,0.26265,0.12466,1.65112,3.63423,1.55138,0.000662417,0.000662417,0.000662417
9,6196.73,1.56557,1.97878,1.20846,1,0.1592,0.18203,0.11199,1.576,4.30173,1.47335,0.00064719,0.00064719,0.00064719
10,6874.43,1.76131,2.10688,1.35554,0.98884,0.16667,0.24836,0.15912,1.55972,3.95606,1.30498,0.000631964,0.000631964,0.000631964
11,36721,1.63909,2.20638,1.24498,1,0.24672,0.27257,0.20677,1.46881,3.10248,1.34968,0.000616738,0.000616738,0.000616738
12,37443.4,1.54824,1.85229,1.25438,0.99136,0.25,0.26139,0.1964,1.27709,2.81494,1.29471,0.000601512,0.000601512,0.000601512
13,38215.1,1.6078,1.73266,1.2357,1,0.24596,0.28088,0.22029,1.29464,3.03448,1.3161,0.000586286,0.000586286,0.000586286
14,42636.5,1.63859,1.60748,1.26567,0.98991,0.25,0.31837,0.23153,1.39743,2.27195,1.34185,0.000571059,0.000571059,0.000571059
15,43738.3,1.63735,1.62723,1.26346,0.98993,0.33333,0.35462,0.25571,1.41503,2.22403,1.32588,0.000555833,0.000555833,0.000555833
16,44694.5,1.41456,1.51931,1.18076,0.99888,0.33333,0.37146,0.27596,1.20532,2.17254,1.30556,0.000540607,0.000540607,0.000540607
17,66094.2,1.59891,1.37548,1.22199,1,0.32902,0.42543,0.28338,1.3089,2.21115,1.3312,0.000525381,0.000525381,0.000525381
18,66777.9,1.595,1.48783,1.15586,0.99525,0.41667,0.54905,0.31586,1.29993,2.23446,1.36661,0.000510155,0.000510155,0.000510155
19,67519.7,1.50783,1.36938,1.237,0.99157,0.33333,0.60956,0.35628,1.29908,1.83625,1.35715,0.000494928,0.000494928,0.000494928
20,68337,1.38736,1.2791,1.11878,0.9855,0.33333,0.60188,0.35141,1.39258,2.21253,1.32514,0.000479702,0.000479702,0.000479702
21,69081.4,1.57182,1.61838,1.18978,1,0.23928,0.3906,0.2858,1.37468,2.54058,1.45258,0.000464476,0.000464476,0.000464476
22,69741.4,1.3385,1.24247,1.14802,0.88876,0.33333,0.4318,0.3022,1.39398,2.33096,1.35708,0.00044925,0.00044925,0.00044925
23,70395.5,1.35569,1.35319,1.15842,0.98896,0.25,0.37155,0.23707,1.33203,2.21882,1.25289,0.000434024,0.000434024,0.000434024
24,71448,1.4216,1.24911,1.14878,0.89517,0.33333,0.42967,0.27838,1.1639,1.96765,1.21267,0.000418797,0.000418797,0.000418797
25,72106.3,1.39779,1.30489,1.09213,0.91039,0.38529,0.43958,0.30021,1.23359,2.35739,1.21636,0.000403571,0.000403571,0.000403571
26,72730.2,1.26305,1.20588,1.05332,0.5,0.36277,0.4959,0.29384,1.40156,1.97855,1.25487,0.000388345,0.000388345,0.000388345
27,73369.8,1.3497,1.15534,1.0925,0.72514,0.66667,0.67799,0.44466,1.34931,1.64264,1.24706,0.000373119,0.000373119,0.000373119
28,74273.9,1.2328,1.00186,1.06201,1,0.32636,0.69598,0.46856,1.17162,1.50385,1.16477,0.000357893,0.000357893,0.000357893
29,75104.9,1.22576,1.0186,1.04125,0.96421,0.25,0.39879,0.31412,1.04103,1.89858,1.12345,0.000342666,0.000342666,0.000342666
30,75826,1.26367,1.10095,1.08921,0.5305,0.58333,0.49792,0.36582,1.15853,1.81867,1.17885,0.00032744,0.00032744,0.00032744
31,76562,1.29763,0.99179,1.0756,0.69316,0.66667,0.61849,0.35611,1.2739,1.95278,1.22103,0.000312214,0.000312214,0.000312214
32,77275.8,1.22125,1.02965,1.02324,0.68506,0.66667,0.64868,0.36349,1.22087,1.69099,1.17631,0.000296988,0.000296988,0.000296988
33,77964.9,1.10504,0.92352,1.00177,0.99265,0.33333,0.55873,0.39744,1.09172,1.41726,1.14415,0.000281762,0.000281762,0.000281762
34,78665.8,1.10418,0.8581,1.00293,0.62595,0.58333,0.60869,0.33862,1.10553,1.6023,1.13992,0.000266535,0.000266535,0.000266535
35,79416.1,1.10898,0.83403,1.02279,0.60208,0.58333,0.60381,0.3335,1.21403,1.79863,1.19674,0.000251309,0.000251309,0.000251309
36,80072.7,1.04893,0.78609,1.03091,0.61628,0.62106,0.62636,0.35808,1.1921,1.86496,1.17467,0.000236083,0.000236083,0.000236083
37,80741.6,1.04611,0.90305,0.94395,0.64099,0.66667,0.64004,0.32706,1.16937,1.7855,1.16218,0.000220857,0.000220857,0.000220857
38,81456.4,1.06357,0.83101,0.98574,0.79373,0.58333,0.65821,0.333,1.10678,1.54462,1.14409,0.000205631,0.000205631,0.000205631
39,82292.2,0.94469,0.71436,0.94279,0.89415,0.65225,0.67253,0.37398,1.03863,1.38327,1.14273,0.000190404,0.000190404,0.000190404
40,83203.3,1.22469,0.87654,0.99315,0.94045,0.58333,0.66499,0.37895,1.01154,1.36359,1.11926,0.000175178,0.000175178,0.000175178
41,84034.9,0.81386,1.0285,0.8172,0.90134,0.58333,0.66127,0.41279,1.03697,1.3278,1.11144,0.000159952,0.000159952,0.000159952
42,84785.8,0.92575,0.89436,0.87614,0.90899,0.58333,0.62875,0.38574,1.10642,1.46414,1.12313,0.000144726,0.000144726,0.000144726
43,85511.6,1.02666,0.78094,0.98789,0.92236,0.58333,0.63162,0.37576,1.13833,1.53216,1.12355,0.0001295,0.0001295,0.0001295
44,86177.3,0.91886,0.75944,0.88921,0.92844,0.58333,0.63208,0.38093,1.04478,1.51529,1.10234,0.000114273,0.000114273,0.000114273
45,86901.1,0.89372,0.73287,0.93392,0.93572,0.58333,0.63551,0.39273,1.02004,1.4782,1.08553,9.90472e-05,9.90472e-05,9.90472e-05
46,87740.9,1.07716,0.80573,0.98807,0.91774,0.58333,0.63891,0.39571,0.99828,1.43283,1.09399,8.3821e-05,8.3821e-05,8.3821e-05
47,88593.1,0.83787,0.74853,0.89866,0.89604,0.58333,0.64765,0.39368,0.95114,1.31023,1.08271,6.85948e-05,6.85948e-05,6.85948e-05
48,89441.7,0.8878,0.74307,0.9091,0.89134,0.58333,0.66456,0.42336,0.94663,1.25323,1.06796,5.33686e-05,5.33686e-05,5.33686e-05
49,90291.1,0.88366,0.75281,0.82808,0.89303,0.58333,0.67395,0.42208,0.9504,1.22155,1.06808,3.81424e-05,3.81424e-05,3.81424e-05
50,91129.7,0.85031,0.67905,0.89076,0.88737,0.58333,0.70031,0.43737,0.95375,1.17403,1.06551,2.29162e-05,2.29162e-05,2.29162e-05
